row_type,app_id,kelompok,aplikasi,item_index,kategori,aktivitas_aturan,deskripsi,tanggal,selesai,bukti_catatan_singkat,tanggal_catatan_kelompok,catatan_kelompok,tanggal_catatan_dosen,catatan_dosen,exported_at
item,smartbank,Kelompok 1,SmartBank (Core),0,Fitur,Registrasi dan login user,Akun pengguna dan JWT authentication berjalan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),1,Fitur,Manajemen saldo dan riwayat,User dapat melihat saldo dan histori transaksi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),2,Fitur,Transfer antar user,Debit/kredit antar akun tercatat di ledger.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),3,Fitur,Pembayaran transaksi,"Memproses payment request dari Marketplace, POS, SupplierHub, dan LogistiKita.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),4,Fitur,Pinjaman/loan,"Pengajuan, limit, bunga, dan status pinjaman terdokumentasi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),5,Fitur,Pajak dan biaya,"Fee bank, pajak sistem, dan potongan layanan dihitung otomatis.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),6,Fitur,Ledger transaksi,Semua perubahan saldo menghasilkan catatan ledger.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),7,Fitur,Kontrol money supply,"Saldo awal, reserve bank, stimulus, dan limit pinjaman mengikuti aturan.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),8,Aturan,Fitur mengikuti pola Input-Proses-Output (IPO),"Setiap fitur memiliki input, proses, dan output yang eksplisit.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),9,Aturan,Endpoint API jelas dan konsisten,"Method, URL, request JSON, response JSON, dan status code terdokumentasi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),10,Aturan,Validasi input diterapkan,"Validasi field wajib, tipe data, nominal, stok, user, dan status transaksi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),11,Aturan,JWT/authentication diterapkan,Request antar aplikasi memiliki mekanisme token/otorisasi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),12,Aturan,Logging request dan transaksi tersedia,"Log minimal mencatat waktu, endpoint, user/app, status, dan error.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),13,Aturan,Komunikasi antar aplikasi melalui Gateway,Tidak ada integrasi langsung yang melewati API Gateway/Integrator.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),14,Aturan,Tidak mengubah saldo di luar SmartBank,Aplikasi non-bank hanya mengirim payment request dan menerima status.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),15,Dokumentasi,Dokumen desain aplikasi selesai,"Deskripsi aplikasi, use case, arsitektur, API, database, dan mekanisme transaksi tersedia.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),16,Dokumentasi,Demo integrasi disiapkan,Skenario demo menunjukkan transaksi dari aplikasi ke Gateway sampai SmartBank/ledger.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),17,Aturan Keuangan,Total money supply maksimal 1.000.000.000,Sistem tidak membuat uang bebas di luar aturan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),18,Aturan Keuangan,Saldo awal mahasiswa 50.000,Seeder/data awal mengikuti ketentuan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),19,Aturan Keuangan,Bank reserve minimal 98%,Cadangan bank dipantau dan tidak dilanggar.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),20,Aturan Keuangan,Fee bank 1% dan pajak sistem 2%,Potongan diterapkan pada transaksi yang relevan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),21,Aturan Keuangan,Limit pinjaman 100.000/user dan bunga 10%,Loan tidak melebihi batas dan bunga tercatat.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
catatan_kelompok,smartbank,Kelompok 1,SmartBank (Core),,,,,,,,2026-06-02,,,,2026-06-02T08:46:24.336Z
catatan_dosen,smartbank,Kelompok 1,SmartBank (Core),,,,,,,,,,2026-06-02,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),0,Fitur,Manajemen produk,"Seller dapat menambah, mengubah, menghapus, dan melihat produk.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),1,Fitur,Browse produk,User dapat melihat daftar dan detail produk.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),2,Fitur,Keranjang dan checkout,Total belanja dihitung dari produk dan kuantitas.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),3,Fitur,Integrasi pembayaran,Checkout menghasilkan payment request ke SmartBank via Gateway.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),4,Fitur,Status order,Status order berubah sesuai hasil pembayaran.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),5,Fitur,Trigger pengiriman,Order sukses dapat memicu request ke LogistiKita.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),6,Fitur,Fee marketplace,Fee 2% dihitung dan dicatat pada transaksi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),7,Aturan,Fitur mengikuti pola Input-Proses-Output (IPO),"Setiap fitur memiliki input, proses, dan output yang eksplisit.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),8,Aturan,Endpoint API jelas dan konsisten,"Method, URL, request JSON, response JSON, dan status code terdokumentasi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),9,Aturan,Validasi input diterapkan,"Validasi field wajib, tipe data, nominal, stok, user, dan status transaksi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),10,Aturan,JWT/authentication diterapkan,Request antar aplikasi memiliki mekanisme token/otorisasi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),11,Aturan,Logging request dan transaksi tersedia,"Log minimal mencatat waktu, endpoint, user/app, status, dan error.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),12,Aturan,Komunikasi antar aplikasi melalui Gateway,Tidak ada integrasi langsung yang melewati API Gateway/Integrator.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),13,Aturan,Tidak mengubah saldo di luar SmartBank,Aplikasi non-bank hanya mengirim payment request dan menerima status.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),14,Dokumentasi,Dokumen desain aplikasi selesai,"Deskripsi aplikasi, use case, arsitektur, API, database, dan mekanisme transaksi tersedia.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),15,Dokumentasi,Demo integrasi disiapkan,Skenario demo menunjukkan transaksi dari aplikasi ke Gateway sampai SmartBank/ledger.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),16,Aturan Keuangan,Fee Marketplace 2%,Potongan dihitung dari transaksi penjualan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),17,Aturan,Marketplace tidak mengubah saldo langsung,Hanya SmartBank yang melakukan debit/kredit.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,marketplace,Kelompok 2,Marketplace (PasarKita),18,Integrasi,Order sukses terhubung ke LogistiKita,Pengiriman dibuat setelah status pembayaran sukses.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
catatan_kelompok,marketplace,Kelompok 2,Marketplace (PasarKita),,,,,,,,2026-06-02,,,,2026-06-02T08:46:24.336Z
catatan_dosen,marketplace,Kelompok 2,Marketplace (PasarKita),,,,,,,,,,2026-06-02,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),0,Fitur,Input transaksi kasir,Kasir dapat memilih item dan kuantitas.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),1,Fitur,Generate tagihan,Total belanja dan invoice dihitung otomatis.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),2,Fitur,Pembayaran via SmartBank,Tagihan dikirim sebagai payment request via Gateway.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),3,Fitur,Riwayat transaksi,Histori transaksi POS tersimpan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),4,Fitur,Status pembayaran,Status invoice mengikuti response SmartBank.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),5,Fitur,Fee POS,Fee 1% dihitung dan terdokumentasi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),6,Aturan,Fitur mengikuti pola Input-Proses-Output (IPO),"Setiap fitur memiliki input, proses, dan output yang eksplisit.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),7,Aturan,Endpoint API jelas dan konsisten,"Method, URL, request JSON, response JSON, dan status code terdokumentasi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),8,Aturan,Validasi input diterapkan,"Validasi field wajib, tipe data, nominal, stok, user, dan status transaksi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),9,Aturan,JWT/authentication diterapkan,Request antar aplikasi memiliki mekanisme token/otorisasi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),10,Aturan,Logging request dan transaksi tersedia,"Log minimal mencatat waktu, endpoint, user/app, status, dan error.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),11,Aturan,Komunikasi antar aplikasi melalui Gateway,Tidak ada integrasi langsung yang melewati API Gateway/Integrator.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),12,Aturan,Tidak mengubah saldo di luar SmartBank,Aplikasi non-bank hanya mengirim payment request dan menerima status.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),13,Dokumentasi,Dokumen desain aplikasi selesai,"Deskripsi aplikasi, use case, arsitektur, API, database, dan mekanisme transaksi tersedia.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),14,Dokumentasi,Demo integrasi disiapkan,Skenario demo menunjukkan transaksi dari aplikasi ke Gateway sampai SmartBank/ledger.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),15,Aturan Keuangan,Fee POS 1%,Biaya transaksi kasir diterapkan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),16,Aturan,POS tidak mengelola pengiriman,Scope hanya transaksi kasir dan pembayaran.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,pos,Kelompok 3,POS (WarungPOS),17,Aturan,POS tidak mengubah saldo langsung,Pembayaran diproses SmartBank.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
catatan_kelompok,pos,Kelompok 3,POS (WarungPOS),,,,,,,,2026-06-02,,,,2026-06-02T08:46:24.336Z
catatan_dosen,pos,Kelompok 3,POS (WarungPOS),,,,,,,,,,2026-06-02,,2026-06-02T08:46:24.336Z
item,supplierhub,Kelompok 4,SupplierHub,0,Fitur,Manajemen bahan baku,Supplier dapat mengelola stok dan harga bahan.,2026-06-02,TRUE,http://localhost:8000/index.php?p=supplier&page=manajemen,,,,,2026-06-02T08:46:24.336Z
item,supplierhub,Kelompok 4,SupplierHub,1,Fitur,Order bahan,UMKM dapat memesan bahan baku.,2026-06-02,TRUE,http://localhost:8000/index.php?p=umkm&page=katalog,,,,,2026-06-02T08:46:24.336Z
item,supplierhub,Kelompok 4,SupplierHub,2,Fitur,Konfirmasi stok,Supplier mengonfirmasi ketersediaan stok.,2026-06-02,TRUE,http://localhost:8000/index.php?p=supplier&page=pesanan,,,,,2026-06-02T08:46:24.336Z
item,supplierhub,Kelompok 4,SupplierHub,3,Fitur,Hitung total biaya,"Harga bahan, kuantitas, dan fee supplier dihitung.",2026-06-02,TRUE,http://localhost:8000/index.php?p=supplier&page=laporan,,,,,2026-06-02T08:46:24.336Z
item,supplierhub,Kelompok 4,SupplierHub,4,Fitur,Pembayaran via SmartBank,Order bahan menghasilkan payment request via Gateway.,2026-06-02,TRUE,http://localhost:8000/index.php?p=umkm&page=riwayat,,,,,2026-06-02T08:46:24.336Z
item,supplierhub,Kelompok 4,SupplierHub,5,Fitur,Status order bahan,Status order mengikuti stok dan pembayaran.,2026-06-02,TRUE,http://localhost:8000/index.php?p=supplier&page=manajemen,,,,,2026-06-02T08:46:24.336Z
item,supplierhub,Kelompok 4,SupplierHub,6,Fitur,Opsional pengiriman bahan,Order sukses dapat memicu LogistiKita.,2026-06-02,TRUE,http://localhost:8000/index.php?p=umkm&page=riwayat,,,,,2026-06-02T08:46:24.336Z
item,supplierhub,Kelompok 4,SupplierHub,7,Aturan,Fitur mengikuti pola Input-Proses-Output (IPO),"Setiap fitur memiliki input, proses, dan output yang eksplisit.",2026-06-02,TRUE,,,,,,2026-06-02T08:46:24.336Z
